X(m)	Y(m)	Z(m)	YAW(degree)	PITCH(degree)	ROLL(degree)	PixelVel(x)	PixelVel(y)
0	0	0	0	0	0	0.01146557	4.22007
0	0	0	0	0	0	1.056254	15.22398
0	0	0	0	0	0	1.701081	24.57236
0	0	0	0	0	0	2.60498	22.19803
0	0	0	0	0	0	0.03692416	25.1364
0	0	0	0	0	0	0.6154622	20.77412
0	0	0	0	0	0	0.6666178	12.86331
0	0	0	0	0	0	-0.1157924	1.288597
0	0	0	0	0	0	-1.334403	-9.187477
0	0	0	0	0	0	-0.5834057	-8.551034
0	0	0	0	0	0	-0.916905	-1.418841
0	0	0	0	0	0	-0.2077185	4.70808
0	0	0	0	0	0	0.3785482	7.172949
0	0	0	0	0	0	0.0320638	3.874602
0	0	0	0	0	0	-0.3635148	-0.6592858
0	0	0	0	0	0	0.2215169	-3.751031
0	0	0	0	0	0	-0.0929988	-2.496751
0	0	0	0	0	0	-0.2099784	0.9153529
0	0	0	0	0	0	0.3578125	2.397793
0	0	0	0	0	0	0.2597319	1.077755
0	0	0	0	0	0	-0.05893343	-1.284732
0	0	0	0	0	0	-0.023837	-1.686412
0	0	0	0	0	0	0.08373182	-0.2698006
0	0	0	0	0	0	-0.1638636	1.161856
0	0	0	0	0	0	-0.08460286	0.8023112
0	0	0	0	0	0	-0.06406947	-0.5359061
0	0	0	0	0	0	-0.1726825	-1.225135
0	0	0	0	0	0	-0.05587064	-0.4399602
0	0	0	0	0	0	0.04163537	0.5632887
0	0	0	0	0	0	-0.09769694	0.6346436
0	0	0	0	0	0	0.02308873	-0.2134719
0	0	0	0	0	0	0.02304688	-0.7334961
0	0	0	0	0	0	0.1701342	0.5265795
0	0	0	0	0	0	0.1493734	1.988525
0	0	0	0	0	0	0.191626	1.654126
0	0	0	0	0	0	0.1855726	0.6264648
0	0	0	0	0	0	-0.1101379	0.8855591
0	0	0	0	0	0	-0.1841108	2.463609
0	0	0	0	0	0	0.1403166	2.924445
0	0	0	0	0	0	0.1951427	1.625361
0	0	0	0	0	0	-0.5511634	-0.308339
0	0	0	0	0	0	-0.3739624	-0.598877
0	0	0	0	0	0	-0.08931108	0.6317028
0	0	0	0	0	0	-0.3341175	0.9546786
0	0	0	0	0	0	-0.05245536	0.8235212
0	0	0	0	0	0	-0.07991537	0.5545713
0	0	0	0	0	0	0.1804421	0.2041016
0	0	0	0	0	0	0.0143821	-0.3474343
0	0	0	0	0	0	-0.1886858	-0.1772926
0	0	0	0	0	0	0.1147217	0.5771973
0	0	0	0	0	0	0.2134254	1.01888
0	0	0	0	0	0	-0.1428094	-0.2851819
0	0	0	0	0	0	0.0702354	-0.6241519
0	0	0	0	0	0	-0.0448331	0.05047053
0	0	0	0	0	0	-0.1585519	0.6352074
0	0	0	0	0	0	0.01689009	0.4070934
0	0	0	0	0	0	0.04606934	-0.02150879
0	0	0	0	0	0	0.1084229	-0.597998
0	0	0	0	0	0	-0.1988076	-0.08616879
0	0	0	0	0	0	0.04890137	0.4006104
0	0	0	0	0	0	0.3749756	0.2776856
0	0	0	0	0	0	-0.04219194	-0.493497
